metric,value,as_of_date,source
burgohondo_complex_ha_final,77000,2026-07-30,"MITECO and EFFIS jointly credited as source, via El Diario (~30 Jul 2026) - explicitly described as 'calculos provisionales a partir del perimetro detectado por satelite' (provisional calculations from the satellite-detected perimeter). Perimeter: 280 km. Satellite-perimeter-derived, not a politician's press-conference statement. No newer figure was found as of 17 Aug 2026; some later coverage refers to this same fire complex as 'Navaluenga' (a second Avila town within its perimeter) rather than Burgohondo."
burgohondo_status_current,"stabilized (estabilizado) since 6 Aug 2026; not controlled or extinguished; full extinction expected to take at least another month",2026-08-06,"Infobae 6 Aug 2026, citing Miguel Garcia, Servicio de Incendios Forestales, Junta de Castilla y Leon (fire service technician, not a political statement)"
burgohondo_national_emergency_ended,TRUE,2026-07-31,"National emergency (nivel 3) for Avila/Madrid lifted approx. 30-31 Jul 2026, per Infobae 6 Aug 2026"
burgohondo_started,2026-07-22,2026-08-06,"Two fires ignited separately in Avila and Madrid provinces, merged into one front on 24 Jul 2026"
burgohondo_avila_effis_perimeters_ha,44316,2026-08-05,"17 distinct EFFIS-mapped perimeters totaling 44,316.0 ha within Avila province alone (mapasdeincendios.es, aggregating Copernicus EFFIS perimeter data), as of 5 Aug 2026 - a province-level satellite-perimeter cross-check, not the full multi-province complex total"
burgohondo_evacuated_peak_combined,115000,2026-07-26,"Sara Aagesen (Spanish Vicepresidenta Tercera / Minister for Ecological Transition, MITECO), official statement via EcoAvant 26 Jul 2026 - Madrid+Avila+Toledo combined, peak displaced/confined"
niebla_started,2026-08-06,2026-08-16,"Paraje de Raboconejo, Niebla, Huelva province, Andalusia"
niebla_status_current,"stabilized (estabilizado) 16 Aug 2026 10:30h, after 36 continuous hours with no active front detected; full extinction could still take several more weeks",2026-08-16,"Juanma Moreno (Andalusia regional president), via TheObjective.com 16 Aug 2026 - an official statement, but explicitly a status update, not the hectare figure itself"
niebla_perimeter_km_final,210,2026-08-16,"TheObjective.com 16 Aug 2026, citing the fire's operational command (PMA)"
niebla_area_within_perimeter_ha,38000,2026-08-15,"Junta de Andalucia operational estimate (Antonio Sanz, Consejero de Presidencia) - explicitly the AREA ENCLOSED BY THE FIRE PERIMETER, NOT confirmed burned area. Officials repeatedly stressed unburned 'islands' up to 400 ha exist inside the perimeter, and that the true calcined-area total awaits 'el parte definitivo del satelite Copernicus' (the definitive Copernicus satellite report), not yet published as of 17 Aug 2026."
niebla_last_validated_satellite_delineation_ha,6456.7,2026-08-09,"Copernicus EMS Rapid Mapping activation EMSR913 (mapping.emergency.copernicus.eu), delineation product acquired 9 Aug 2026 12:48 - the last VALIDATED satellite-mapped figure identified for this fire. Superseded by the fire's continued growth after this date; no later validated EMSR913 delineation was located as of 17 Aug 2026. Cited via tecnobosque.es technical analysis, which explicitly declined to draw a newer perimeter without validated geometry, exactly the same caution applied here."
niebla_evacuees_authorized_return,417,2026-08-16,"Junta de Andalucia, via TheObjective.com and La Portada de Extremadura, 16 Aug 2026"
national_ytd_ha_22jul_effis,119458,2026-07-22,"EFFIS (Copernicus/JRC satellite mapping), independently confirmed by both ScienceMediaCentre.es and TheObjective.com, both citing EFFIS directly"
national_ytd_ha_22jul_2025_effis,35270,2026-07-22,"EFFIS, same-date 2025 comparison, via TheObjective.com"
national_ytd_ha_5aug_effis,222783,2026-08-05,"EFFIS (Copernicus/JRC satellite mapping), via Diario en Positivo 7 Aug 2026 - cross-validated against the JRC's own official EU-wide figure of 500,333-505,683 ha for the same date (two independent EU totals cited across sources, both consistent)"
national_ytd_ha_5aug_2025_effis,45221,2026-08-05,"EFFIS, same-date 2025 comparison, via Diario en Positivo"
national_ytd_ha_12aug_effis,265457,2026-08-12,"EFFIS (Copernicus/JRC satellite mapping), via TheObjective.com 13 Aug 2026 (52.2% of the EU total of 554,788 ha) - independently consistent with que.es's 264,100 ha figure for the same window, both citing EFFIS"
national_ytd_ha_12aug_2025_effis_derived,189379,2026-08-12,"DERIVED, not directly cited: sum of the 5 Aug 2025 EFFIS total (45,221 ha) plus the EFFIS-reported 6-12 Aug 2025 weekly increase (144,158 ha). No single EFFIS statement giving this exact cumulative figure for 12 Aug 2025 was located; shown as a calculated estimate, not a direct quote, and labeled as such throughout."
eu_total_ha_13aug2026_jrc_official,568415,2026-08-13,"PRIMARY SOURCE: Joint Research Centre (European Commission), official EFFIS current-situation page (joint-research-centre.ec.europa.eu), data updated 14 Aug 2026 08:43 CET - the most current primary-source figure available as of 17 Aug 2026"
eu_total_ha_13aug2025_jrc_official,775748,2026-08-13,"PRIMARY SOURCE: same JRC official page - 2025 was 'the worst year on record' for the EU. As of 13 Aug, 2026 is now BELOW the 2025 pace EU-wide (a reversal from 5 Aug, when 2026 was running ahead)"
eu_fires_13aug2026_jrc_official,1647,2026-08-13,"PRIMARY SOURCE: JRC official page - fires >30ha detected since start of year"
eu_fires_13aug2025_jrc_official,1735,2026-08-13,"PRIMARY SOURCE: JRC official page - same-date 2025 comparison"
eu_20yr_avg_ha_to12aug_jrc_official,243189,2026-08-12,"PRIMARY SOURCE: JRC official page, weekly update - 2006-2025 20-year average cumulative burnt area in the EU for this point in the season"
spain_2025_week_6to12aug_ha,144158,2026-08-12,"EFFIS, via TheObjective.com - weekly breakdown; shows Spain 2025's dramatic acceleration began in exactly this window"
spain_2025_week_13to19aug_ha,178141,2026-08-19,"EFFIS, via TheObjective.com - the following week, containing the Larouco-Quiroga-Oencia fire (37,765 ha, Spain's worst on record until 2026)"
national_ytd_ha_5aug_miteco_ground,194122,2026-08-05,"MITECO (Spanish Ministry for Ecological Transition), official GROUND-REPORTING figure, via El Diario Cantabria/Publico 5 Aug 2026 - included ONLY for the EFFIS-vs-MITECO methodology comparison chart, not as the headline satellite figure"
national_ytd_ha_17aug_miteco,254730,2026-08-17,"MITECO Avance Informativo (official), published 18 Aug 2026 - combines CCAA ground reports with EFFIS satellite data. Explicitly the FIRST TIME in the 2026 campaign that the cumulative total fell BELOW the same date in 2025."
national_ytd_ha_17aug_2025_miteco,295580,2026-08-17,"MITECO, same-date 2025 comparison, same Avance Informativo"
national_ytd_ha_29jul_effis,219665,2026-07-29,"EFFIS (Copernicus/JRC satellite mapping), via EcoAvant.com - a fourth EFFIS checkpoint, 47.2% of the EU total at that date"
